 4000,    1,   1180.1,      18.1,    1179.4,      18.1,    1182.0,      18.0
 5200,    2,   1491.1,      15.7,    1843.5,      12.7,    1288.8,      18.2
 6400,    4,   1602.2,      13.6,    1991.1,      11.0,    1195.9,      18.3
 8000,    8,   1886.9,      11.3,    2106.2,      10.1,    1175.9,      18.1
10200,   16,   2476.3,       8.9,    2291.8,       9.6,    1241.9,      17.8
12800,   32,   3341.9,       6.5,    2376.9,       9.2,    1267.5,      17.2
16000,   64,   4738.0,       4.5,    2454.1,       8.7,    1338.6,      15.9
17400,   80,   5571.3,       3.9,    2596.3,       8.5,    1475.7,      14.9
